Date,Value
1879-12-01,4.92
1879-11-01,4.93
1879-10-01,4.68
1879-09-01,4.22
1879-08-01,4.07
1879-07-01,4.04
1879-06-01,3.96
1879-05-01,3.94
1879-04-01,3.77
1879-03-01,3.65
1879-02-01,3.71
1879-01-01,3.58
1878-12-01,3.45
1878-11-01,3.47
1878-10-01,3.48
1878-09-01,3.52
1878-08-01,3.45
1878-07-01,3.48
1878-06-01,3.41
1878-05-01,3.34
1878-04-01,3.33
1878-03-01,3.24
1878-02-01,3.18
1878-01-01,3.25
1877-12-01,3.25
1877-11-01,3.26
1877-10-01,3.31
1877-09-01,3.24
1877-08-01,3.05
1877-07-01,2.85
1877-06-01,2.73
1877-05-01,2.94
1877-04-01,2.94
1877-03-01,3.17
1877-02-01,3.34
1877-01-01,3.55
1876-12-01,3.58
1876-11-01,3.6
1876-10-01,3.67
1876-09-01,3.69
1876-08-01,3.93
1876-07-01,4.1
1876-06-01,4.15
1876-05-01,4.18
1876-04-01,4.34
1876-03-01,4.51
1876-02-01,4.52
1876-01-01,4.46
1875-12-01,4.37
1875-11-01,4.37
1875-10-01,4.3
1875-09-01,4.37
1875-08-01,4.41
1875-07-01,4.39
1875-06-01,4.38
1875-05-01,4.47
1875-04-01,4.65
1875-03-01,4.59
1875-02-01,4.53
1875-01-01,4.54
1874-12-01,4.54
1874-11-01,4.57
1874-10-01,4.53
1874-09-01,4.54
1874-08-01,4.47
1874-07-01,4.46
1874-06-01,4.46
1874-05-01,4.48
1874-04-01,4.6
1874-03-01,4.73
1874-02-01,4.8
1874-01-01,4.66
1873-12-01,4.42
1873-11-01,4.04
1873-10-01,4.19
1873-09-01,4.59
1873-08-01,4.97
1873-07-01,4.97
1873-06-01,4.98
1873-05-01,5.05
1873-04-01,5.04
1873-03-01,5.11
1873-02-01,5.15
1873-01-01,5.11
1872-12-01,5.07
1872-11-01,4.95
1872-10-01,4.97
1872-09-01,4.95
1872-08-01,5.04
1872-07-01,5.1
1872-06-01,5.13
1872-05-01,5.18
1872-04-01,5.18
1872-03-01,5.04
1872-02-01,4.88
1872-01-01,4.86
1871-12-01,4.74
1871-11-01,4.64
1871-10-01,4.59
1871-09-01,4.84
1871-08-01,4.79
1871-07-01,4.73
1871-06-01,4.82
1871-05-01,4.86
1871-04-01,4.74
1871-03-01,4.61
1871-02-01,4.5
1871-01-01,4.44
