Date,Value
1987-01-01,264.54
1987-01-02,246.44
1987-01-05,252.19
1987-01-06,252.77
1987-01-07,255.33
1987-01-08,257.27
1987-01-09,258.73
1987-01-12,260.29
1987-01-13,259.95
1987-01-14,262.64
1987-01-15,265.48
1987-01-16,266.27
1987-01-19,269.33
1987-01-20,269.04
1987-01-21,267.83
1987-01-22,273.91
1987-01-23,270.10
1987-01-26,269.60
1987-01-27,273.75
1987-01-28,275.39
1987-01-29,274.23
1987-01-30,274.07
1987-02-01,280.93
1987-02-02,276.45
1987-02-03,275.98
1987-02-04,279.64
1987-02-05,281.16
1987-02-06,280.04
1987-02-09,278.16
1987-02-10,275.07
1987-02-11,277.54
1987-02-12,275.61
1987-02-13,279.70
1987-02-17,285.48
1987-02-18,285.42
1987-02-19,285.57
1987-02-20,285.48
1987-02-23,282.38
1987-02-24,282.88
1987-02-25,284.00
1987-02-26,282.95
1987-02-27,284.20
1987-03-01,292.52
1987-03-02,283.00
1987-03-03,284.11
1987-03-04,288.61
1987-03-05,290.51
1987-03-06,290.66
1987-03-09,288.29
1987-03-10,290.85
1987-03-11,290.30
1987-03-12,291.22
1987-03-13,289.89
1987-03-16,288.23
1987-03-17,292.47
1987-03-18,292.77
1987-03-19,294.07
1987-03-20,298.17
1987-03-23,301.16
1987-03-24,301.64
1987-03-25,300.38
1987-03-26,300.92
1987-03-27,296.13
1987-03-30,289.20
1987-03-31,291.70
1987-04-01,292.38
1987-04-02,293.63
1987-04-03,300.41
1987-04-06,301.95
1987-04-07,296.69
1987-04-08,297.26
1987-04-09,292.85
1987-04-10,292.48
1987-04-13,285.61
1987-04-14,279.16
1987-04-15,284.44
1987-04-16,286.91
1987-04-20,286.08
1987-04-21,293.07
1987-04-22,287.19
1987-04-23,286.82
1987-04-24,281.51
1987-04-27,281.82
1987-04-28,282.51
1987-04-29,284.57
1987-04-30,288.35
1987-05-01,288.02
1987-05-04,289.35
1987-05-05,295.33
1987-05-06,295.47
1987-05-07,294.70
1987-05-08,293.36
1987-05-11,291.57
1987-05-12,293.29
1987-05-13,293.98
1987-05-14,294.23
1987-05-15,287.42
1987-05-18,286.64
