Date,Value
1919-12-01,8.92
1919-11-01,9.19
1919-10-01,9.47
1919-09-01,9.01
1919-08-01,8.87
1919-07-01,9.51
1919-06-01,9.21
1919-05-01,8.97
1919-04-01,8.39
1919-03-01,8.12
1919-02-01,7.88
1919-01-01,7.85
1918-12-01,7.9
1918-11-01,8.06
1918-10-01,7.86
1918-09-01,7.54
1918-08-01,7.58
1918-07-01,7.51
1918-06-01,7.45
1918-05-01,7.44
1918-04-01,7.21
1918-03-01,7.28
1918-02-01,7.43
1918-01-01,7.21
1917-12-01,6.8
1917-11-01,7.04
1917-10-01,7.68
1917-09-01,8.12
1917-08-01,8.53
1917-07-01,8.79
1917-06-01,9.04
1917-05-01,8.86
1917-04-01,9.17
1917-03-01,9.31
1917-02-01,9.03
1917-01-01,9.57
1916-12-01,9.8
1916-11-01,10.21
1916-10-01,9.98
1916-09-01,9.68
1916-08-01,9.3
1916-07-01,9.23
1916-06-01,9.36
1916-05-01,9.27
1916-04-01,9.07
1916-03-01,9.17
1916-02-01,9.2
1916-01-01,9.33
1915-12-01,9.48
1915-11-01,9.46
1915-10-01,9.14
1915-09-01,8.66
1915-08-01,8.35
1915-07-01,8.01
1915-06-01,8.04
1915-05-01,7.95
1915-04-01,8.14
1915-03-01,7.57
1915-02-01,7.38
1915-01-01,7.48
1914-12-01,7.35
1914-11-01,7.68
1914-10-01,7.68
1914-09-01,7.68
1914-08-01,7.68
1914-07-01,7.68
1914-06-01,8.13
1914-05-01,8.17
1914-04-01,8.12
1914-03-01,8.32
1914-02-01,8.48
1914-01-01,8.37
1913-12-01,8.04
1913-11-01,8.05
1913-10-01,8.26
1913-09-01,8.53
1913-08-01,8.45
1913-07-01,8.23
1913-06-01,8.12
1913-05-01,8.55
1913-04-01,8.79
1913-03-01,8.8
1913-02-01,8.97
1913-01-01,9.3
1912-12-01,9.38
1912-11-01,9.73
1912-10-01,9.84
1912-09-01,9.86
1912-08-01,9.81
1912-07-01,9.59
1912-06-01,9.58
1912-05-01,9.58
1912-04-01,9.59
1912-03-01,9.3
1912-02-01,9.04
1912-01-01,9.12
1911-12-01,9.11
1911-11-01,9.07
1911-10-01,8.72
1911-09-01,8.67
1911-08-01,9.17
1911-07-01,9.63
1911-06-01,9.67
1911-05-01,9.48
1911-04-01,9.28
1911-03-01,9.32
1911-02-01,9.43
1911-01-01,9.27
1910-12-01,9.05
1910-11-01,9.31
1910-10-01,9.32
1910-09-01,8.91
1910-08-01,8.85
1910-07-01,8.64
1910-06-01,9.1
1910-05-01,9.56
1910-04-01,9.72
1910-03-01,9.96
1910-02-01,9.72
1910-01-01,10.08
